Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,424032,437714,2,2,15.03.2013,1515,"A (""back roads"")",Wet,Daylight (streetlights present),Raining without high winds,Driver or rider,Slight,Male,25,Car
2013,424032,437714,2,2,15.03.2013,1515,"A (""back roads"")",Wet,Daylight (streetlights present),Raining without high winds,Driver or rider,Slight,Female,47,Car
2013,430120,432112,3,1,12.3.2013,1000,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,41,Car
2013,430230,432037,1,1,15.03.2013,1220,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,88,Bus or coach
2013,422006,433110,3,1,15.03.2013,1925,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Serious,Male,17,Car
2013,434397,429264,1,2,15.03.2013,2340,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Serious,Male,44,Car
2013,434397,429264,1,2,15.03.2013,2340,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,41,Car
2013,430758,432131,1,1,16.03.2013,246,Unclassified,Wet,Darkness (streetlights present and lit),Raining without high winds,Driver or rider,Slight,Male,24,Car
2013,429030,426420,3,1,15.03.2013,1706,Motorway (freeway),Wet,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,47,Car
2013,424894,434427,1,1,16.03.2013,1605,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,22,Motorcycle >125cc and <=500cc
2013,427611,441659,2,1,16.03.2013,1614,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,38,Bicycle
2013,430399,430964,2,4,16.03.2013,1650,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,60,Car
2013,430399,430964,2,4,16.03.2013,1650,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,35,Car
2013,430399,430964,2,4,16.03.2013,1650,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,Car
2013,430399,430964,2,4,16.03.2013,1650,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,63,Car
2013,430876,433470,1,1,17.03.2013,520,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Male,19,Car
2013,430419,432800,2,1,17.03.2013,720,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,43,Car
2013,430413,433399,2,1,16.03.2013,410,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,50,Car
2013,434452,433722,2,1,17.03.2013,1550,B (regional road),Wet,Daylight (streetlights present),Raining without high winds,Driver or rider,Slight,Female,53,Car
2013,422567,434006,1,1,18.03.2013,1005,"A (""back roads"")",Wet,Daylight (streetlights present),Raining without high winds,Driver or rider,Slight,Male,30,Car
2013,432513,427343,1,1,18.03.2013,1420,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,81,Car
2013,429053,435489,2,3,18.03.2013,1343,Unclassified,Wet,Daylight (streetlights present),Snowing without high winds,Driver or rider,Slight,Female,25,Car
2013,429053,435489,2,3,18.03.2013,1343,Unclassified,Wet,Daylight (streetlights present),Snowing without high winds,Driver or rider,Slight,Female,66,Car
2013,429053,435489,2,3,18.03.2013,1343,Unclassified,Wet,Daylight (streetlights present),Snowing without high winds,Vehicle or pillion passenger,Slight,Female,67,Car
2013,435811,428220,2,1,18.03.2013,1613,"A (""back roads"")",Wet,Daylight (streetlights present),Raining without high winds,Vehicle or pillion passenger,Slight,Male,63,Car
2013,428792,435158,2,1,18.03.2013,1640,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,22,Car
2013,431108,432098,2,1,19.03.2013,714,Unclassified,Wet,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,28,Motorcycle over 500cc
2013,431996,435866,3,2,19.03.2013,1210,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,26,Goods vehicle <=3.5 tons
2013,431996,435866,3,2,19.03.2013,1210,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,24,Car
2013,431310,428971,2,1,19.03.2013,1720,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,17,Bicycle
2013,428431,432937,2,2,19.03.2013,1030,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,45,Car
2013,428431,432937,2,2,19.03.2013,1030,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,23,Goods vehicle <=3.5 tons
2013,420944,439955,1,1,20.03.2013,810,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,12,Car
2013,428174,433507,2,1,20.03.2013,1830,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,38,Car
2013,432029,435866,2,2,19.03.2013,1145,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,32,Car
2013,432029,435866,2,2,19.03.2013,1145,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,56,Car
2013,435241,434791,2,1,21.03.2013,720,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,11,Bicycle
2013,419226,441801,1,1,21.03.2013,1105,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,60,Bus or coach
2013,424703,434439,1,1,21.03.2013,1445,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,24,Car
2013,422872,439313,2,1,21.03.2013,1620,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,54,Motorcycle >125cc and <=500cc
2013,426301,436948,1,1,21.03.2013,1344,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,52,Bus or coach
2013,428687,434941,2,1,21.03.2013,1705,Unclassified,Wet,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,23,Car
2013,426226,431883,3,4,21.03.2013,2004,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,19,Car
2013,426226,431883,3,4,21.03.2013,2004,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,22,Car
2013,426226,431883,3,4,21.03.2013,2004,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
2013,426226,431883,3,4,21.03.2013,2004,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,53,Car
2013,421920,441439,1,1,22.03.2013,620,"A (""back roads"")",Snow,Darkness (streetlighting unknown),Snowing without high winds,Driver or rider,Slight,Male,41,Goods vehicle >=7.5 tons
2013,435387,439092,1,1,22.03.2013,842,Unclassified,Snow,Daylight (streetlights present),Snowing with high winds,Driver or rider,Slight,Male,48,Car
2013,434037,429880,1,1,22.03.2013,2135,Motorway (freeway),Wet,Darkness (streetlights present and lit),Snowing without high winds,Driver or rider,Slight,Male,22,Car
2013,425390,435035,2,1,23.03.2013,1052,Unclassified,Snow,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,33,Goods vehicle <=3.5 tons
2013,428663,434609,2,2,23.03.2013,1820,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,Car
2013,428663,434609,2,2,23.03.2013,1820,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,Car
2013,423724,434194,1,2,23.03.2013,1800,Unclassified,Wet,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Slight,Female,25,Car
2013,423724,434194,1,2,23.03.2013,1800,Unclassified,Wet,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Slight,Male,24,Car
2013,426989,439939,2,2,25.03.2013,810,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,23,Car
2013,426989,439939,2,2,25.03.2013,810,"A (""back roads"")",Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,28,Car
2013,430697,439058,2,1,25.03.2013,810,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,37,Motorcycle >50cc and <=125cc
2013,432858,435378,2,1,25.03.2013,1050,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,27,Car
2013,435320,425910,2,1,20.03.2013,1754,Motorway (freeway),Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,39,Car
2013,435810,436647,1,1,25.03.2013,1622,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Serious,Male,14,Car
2013,434406,425881,2,1,26.03.2013,103,Motorway (freeway),Dry,Darkness (streetlights present and lit),Fine with high winds,Driver or rider,Slight,Male,27,Car
2013,429095,438842,1,1,18.03.2013,1100,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,Taxi/Private hire car
2013,423756,428064,2,1,26.03.2013,525,Motorway (freeway),Wet,Darkness (streetlighting unknown),Unknown,Driver or rider,Slight,Male,29,Car
2013,428433,428719,1,1,23.03.2013,30,"A (""back roads"")",Snow,Darkness (streetlights present and lit),Snowing with high winds,Driver or rider,Slight,Male,45,Car
2013,430002,434155,1,1,14.03.2013,1630,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,17,Car
2013,428112,429935,3,1,26.03.2013,1810,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
2013,418226,442131,2,1,26.03.2013,810,Unclassified,Ice,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,57,Car
2013,428790,435158,2,2,26.03.2013,1630,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,22,Car
2013,428790,435158,2,2,26.03.2013,1630,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,67,Car
2013,429118,432177,2,2,27.03.2013,1548,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,21,Car
2013,429118,432177,2,2,27.03.2013,1548,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,19,Car
2013,431170,440734,2,1,27.03.2013,1340,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,25,Car
2013,431868,435949,2,1,27.03.2013,750,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,23,Car
2013,425478,426455,2,1,28.03.2013,808,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,42,Motorcycle >50cc and <=125cc
2013,431498,433406,1,1,28.03.2013,1335,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,22,Car
2013,427098,424972,1,1,29.03.2013,27,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Serious,Male,18,Car
2013,428573,431680,4,2,29.03.2013,930,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,55,Car
2013,428573,431680,4,2,29.03.2013,930,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,7,Car
2013,430260,432586,2,2,29.03.2013,1605,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,33,Car
2013,430260,432586,2,2,29.03.2013,1605,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,63,Car
2013,429190,431918,2,1,30.03.2013,640,Motorway (freeway),Wet,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,46,Car
2013,439465,430680,1,2,30.03.2013,745,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,23,Car
2013,439465,430680,1,2,30.03.2013,745,Unclassified,Wet,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,23,Car
2013,435333,434802,1,2,30.03.2013,1126,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,57,Car
2013,435333,434802,1,2,30.03.2013,1126,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,2,Car
2013,433636,433434,2,1,28.03.2013,1145,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,38,Car
2013,429965,430992,1,1,28.03.2013,1500,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,27,Motorcycle >50cc and <=125cc
2013,430120,433229,1,1,29.03.2013,2333,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Female,39,Car
2013,432002,435246,4,1,30.03.2013,2017,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,51,Car
2013,429595,431773,5,1,31.03.2013,1505,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,31,Car
2013,436189,427756,1,3,2.4.2013,310,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,24,Car
2013,436189,427756,1,3,2.4.2013,310,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,29,Car
2013,436189,427756,1,3,2.4.2013,310,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Slight,Female,24,Car
2013,430839,431388,2,1,2.4.2013,800,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,32,Car
2013,423242,434943,2,1,2.4.2013,640,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Serious,Male,17,Motorcycle >50cc and <=125cc
2013,424286,435356,1,1,2.4.2013,1645,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,12,Bus or coach
2013,427892,436203,1,1,2.4.2013,1320,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,28,Car
2013,438625,430533,1,1,3.4.2013,855,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,18,Car
2013,428370,434666,2,1,3.4.2013,1527,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,10,Bicycle
2013,431261,432276,1,1,4.4.2013,1244,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,17,Motorcycle <= 50cc
2013,428458,432960,2,1,4.4.2013,1700,B (regional road),Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,41,Bicycle
2013,441115,428384,1,1,3.4.2013,5,Unclassified,Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Slight,Male,40,Car
2013,425941,435561,1,1,5.4.2013,1600,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,15,Car
2013,424231,428501,1,2,5.4.2013,1430,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,40,Bus or coach
2013,424231,428501,1,2,5.4.2013,1430,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Bus or coach
2013,427441,438594,1,2,5.4.2013,1608,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Female,25,Car
2013,427441,438594,1,2,5.4.2013,1608,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Female,19,Car
2013,433026,432304,2,3,4.4.2013,1200,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,36,Car
2013,433026,432304,2,3,4.4.2013,1200,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,27,Car
2013,433026,432304,2,3,4.4.2013,1200,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,5,Car
2013,422370,433381,1,1,3.4.2013,1145,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,73,Car
2013,427993,435198,2,1,4.4.2013,1940,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,40,Car
2013,422514,433992,3,1,6.4.2013,1415,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Female,21,Car
2013,429622,435559,1,1,6.4.2013,1715,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Slight,Male,4,Car
2013,430434,435048,2,1,6.4.2013,1500,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,43,Car
2013,426612,436227,2,1,6.4.2013,2000,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,48,Car
2013,431535,439783,1,1,5.4.2013,1620,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Serious,Male,62,Car
2013,421872,441276,2,1,7.4.2013,1518,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,17,Motorcycle >50cc and <=125cc
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,31,Car
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,24,Car
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,25,Car
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,23,Car
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,Car
2013,431335,441264,4,6,7.4.2013,1600,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Serious,Male,32,Car
2013,432097,435604,1,1,7.4.2013,1555,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,25,Car
2013,427818,430641,2,1,19.03.2013,1525,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,42,Bicycle
2013,427636,427956,1,1,8.4.2013,1633,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,57,Bus or coach
2013,436144,435325,2,1,8.4.2013,1610,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,58,Car
2013,424275,433671,1,1,9.4.2013,1245,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Female,73,Car
2013,431661,434968,2,1,9.4.2013,1445,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,46,Car
2013,442460,434988,2,2,9.4.2013,1634,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,77,Car
2013,442460,434988,2,2,9.4.2013,1634,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Serious,Male,47,Motorcycle >50cc and <=125cc
2013,430712,433585,2,1,10.4.2013,655,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,43,Car
2013,430504,432286,2,1,10.4.2013,1010,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,6,Car
2013,429547,434831,2,1,10.4.2013,1200,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,23,Bicycle
2013,425600,435620,1,1,9.4.2013,1750,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,10,Motorcycle <= 50cc
2013,430845,433466,1,1,10.4.2013,1110,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,58,Bus or coach
2013,429556,434238,2,1,9.4.2013,2120,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Female,29,Car
2013,430740,434751,2,1,10.4.2013,1500,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,46,Car
2013,424225,443972,2,1,10.4.2013,1725,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,37,Bicycle
2013,428195,435071,2,1,11.4.2013,1300,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,34,Car
2013,430151,434124,1,1,11.4.2013,1505,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,35,Car
2013,435023,434968,2,2,12.4.2013,2141,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,Car
2013,435023,434968,2,2,12.4.2013,2141,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,Car
2013,425007,436678,2,4,13.04.2013,51,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Other,Driver or rider,Slight,Male,45,Car
2013,425007,436678,2,4,13.04.2013,51,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Other,Driver or rider,Slight,Male,40,Car
2013,425007,436678,2,4,13.04.2013,51,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Other,Vehicle or pillion passenger,Slight,Male,50,Car
2013,425007,436678,2,4,13.04.2013,51,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Other,Vehicle or pillion passenger,Slight,Female,45,Car
2013,431313,438766,2,2,13.04.2013,250,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Male,21,Car
2013,431313,438766,2,2,13.04.2013,250,Unclassified,Wet,Darkness (streetlights present and lit),Fine without high winds,Vehicle or pillion passenger,Serious,Male,19,Car
2013,441676,427949,2,1,12.4.2013,1330,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,47,Bicycle
2013,433554,435956,2,2,13.04.2013,840,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,57,Car
2013,433554,435956,2,2,13.04.2013,840,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,49,Car
2013,428723,433203,2,2,12.4.2013,1230,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,37,Car
2013,428723,433203,2,2,12.4.2013,1230,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,44,Car
2013,418718,444729,2,5,13.04.2013,1755,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Raining without high winds,Driver or rider,Slight,Male,48,Car
2013,418718,444729,2,5,13.04.2013,1755,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Raining without high winds,Driver or rider,Slight,Male,20,Car
2013,418718,444729,2,5,13.04.2013,1755,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Raining without high winds,Vehicle or pillion passenger,Slight,Female,45,Car
2013,418718,444729,2,5,13.04.2013,1755,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Raining without high winds,Vehicle or pillion passenger,Slight,Female,19,Car
2013,418718,444729,2,5,13.04.2013,1755,"A (""back roads"")",Wet,Darkness (streetlighting unknown),Raining without high winds,Vehicle or pillion passenger,Slight,Female,20,Car
2013,426834,433797,1,1,13.04.2013,1735,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,21,Car
2013,425908,436256,1,1,13.04.2013,2035,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Slight,Male,61,Goods vehicle <=3.5 tons
2013,429697,434561,1,1,14.04.2013,240,"A (""back roads"")",Dry,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Serious,Male,19,Car
2013,438939,426895,1,1,13.04.2013,1245,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Pedestrian,Slight,Male,5,Car
2013,425097,434943,1,1,13.04.2013,2350,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Pedestrian,Slight,Male,43,Taxi/Private hire car
2013,425208,440806,1,1,14.04.2013,1242,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,8,Bus or coach
2013,440338,448107,2,1,13.04.2013,1938,Unclassified,Wet,Darkness (streetlighting unknown),Raining without high winds,Pedestrian,Serious,Male,23,Bus or coach
2013,429455,434903,2,1,15.04.2013,1135,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,32,Car
2013,428427,428828,2,1,15.04.2013,1505,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,31,Car
2013,427394,427462,2,1,15.04.2013,1715,Unclassified,Dry,Darkness (streetlighting unknown),Fine without high winds,Driver or rider,Slight,Male,6,Bicycle
2013,430794,433460,1,1,15.04.2013,1608,"A (""back roads"")",Dry,Daylight (streetlights present),Fine with high winds,Vehicle or pillion passenger,Slight,Female,27,Minibus
2013,421918,432965,2,2,15.04.2013,1638,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,32,Car
2013,421918,432965,2,2,15.04.2013,1638,B (regional road),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,50,Car
2013,433844,434056,2,2,15.04.2013,1536,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,19,Car
2013,433844,434056,2,2,15.04.2013,1536,"A (""back roads"")",Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Male,32,Car
2013,430798,433447,1,1,14.04.2013,430,"A (""back roads"")",Dry,Darkness (streetlights present and lit),Fine without high winds,Pedestrian,Serious,Male,19,Car
2013,428199,435024,2,1,15.04.2013,1030,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,29,Car
2013,426020,427776,2,1,13.04.2013,1140,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,43,Car
2013,430431,433862,2,1,16.04.2013,1625,Unclassified,Dry,Daylight (streetlights present),Fine without high winds,Vehicle or pillion passenger,Slight,Female,9,Car
2013,429519,434863,2,1,16.04.2013,1610,"A (""back roads"")",Dry,Daylight (streetlights present),Fine with high winds,Vehicle or pillion passenger,Slight,Female,42,Bus or coach
