Year,Grid_Ref_Easting,Grid_Ref_Northing,Number_of_Vehicles,Number_of_Casualties,Accident_Date,Time,Road_Class,Road_Surface,Lighting_Conditions,Weather_Conditions,Casualty_Class,Casualty_Severity,Sex_of_Casualty,Age_of_Casualty,Type_of_Vehicle
2013,429951,432118,2,1,25.10.2013,745,Motorway (freeway),Wet,Daylight (streetlights present),Raining without high winds,Driver or rider,Slight,Male,38,Motorcycle over 500cc
2013,429185,431932,2,1,27.10.2013,1147,Unclassified,Wet,Daylight (streetlights present),Fine with high winds,Driver or rider,Slight,Female,27,Car
2013,430678,430577,2,1,11.11.2013,1805,Motorway (freeway),Dry,Darkness (streetlights present and lit),Fine without high winds,Driver or rider,Slight,Female,55,Car
2013,424090,428088,3,2,13.11.2013,1018,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,41,Car
2013,424090,428088,3,2,13.11.2013,1018,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,30,Car
2013,430391,424216,3,2,6.12.2013,2126,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,58,Car
2013,430391,424216,3,2,6.12.2013,2126,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,28,Car
2013,432294,426168,2,1,9.12.2013,945,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Female,34,Goods vehicle <=3.5 tons
2013,430693,424510,2,1,13.12.2013,1700,"A (""back roads"")",Wet,Darkness (streetlights present and lit),Raining without high winds,Driver or rider,Slight,Male,34,Car
2013,434891,425881,4,2,19.12.2013,1135,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,28,Car
2013,434891,425881,4,2,19.12.2013,1135,Motorway (freeway),Dry,Daylight (streetlights present),Fine without high winds,Driver or rider,Slight,Male,41,Car
2013,429848,432292,3,1,20.12.2013,1515,Motorway (freeway),Wet,Daylight (streetlights present),Raining with high winds,Driver or rider,Slight,Male,59,Car
