"Year","Reference_Number","Grid_Ref_Easting","Grid_Ref_Northing","Number_of_Vehicles","Number_of_Casualties","Accident_Date","Time","Road_Class","Road_Surface","Lighting_Conditions","Weather_Conditions","Casualty_Class","Casualty_Severity","Sex_of_Casualty","Age_of_Casualty","Type_of_Vehicle"
"2013","130026506","430877","433880","1","2","18_01_2013","2100","Unclassified","Snow","Darkness (streetlights present and lit)","Snowing w/o high winds","Driver or rider","Slight","Male","27","Car"
"2013","130026506","430877","433880","1","2","18_01_2013","2100","Unclassified","Snow","Darkness (streetlights present and lit)","Snowing w/o high winds","Vehicle or pillion passenger","Slight","Male","20","Car"
"2013","130028329","434813","427913","1","3","20_01_2013","1","Unclassified","Ice","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Male","25","Car"
"2013","130028329","434813","427913","1","3","20_01_2013","1","Unclassified","Ice","Darkness (streetlighting unknown)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","38","Car"
"2013","130028329","434813","427913","1","3","20_01_2013","1","Unclassified","Ice","Darkness (streetlighting unknown)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","27","Car"
"2013","130028445","424128","444004","2","1","20_01_2013","1044","A (back roads)","Ice","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","35","Bicycle"
"2013","130029418","431857","437833","1","1","19_01_2013","1350","Unclassified","Dry","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Female","42","Car"
"2013","130029491","426701","429825","1","2","21_01_2013","1151","Motorway (freeway)","Wet","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","27","Car"
"2013","130029491","426701","429825","1","2","21_01_2013","1151","Motorway (freeway)","Wet","Daylight (streetlights present)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Male","1","Car"
"2013","130029972","420668","440755","3","1","21_01_2013","1539","Unclassified","Snow","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","29","Car"
"2013","130030230","426510","433865","2","1","21_01_2013","2125","Unclassified","Snow","Darkness (streetlighting unknown)","Fine w/o high winds","Driver or rider","Slight","Female","35","Car"
"2013","130031334","418962","446446","1","1","22_01_2013","1615","Unclassified","Wet","Daylight (streetlights present)","Fine w/o high winds","Pedestrian","Slight","Male","8","Car"
"2013","130031371","431481","435005","7","3","22_01_2013","1430","Unclassified","Snow","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Male","33","Car"
"2013","09G1050","430995","424606","2","1","16_09_2013","1535","Motorway (freeway)","Dry","Daylight (streetlights present)","Unknown","Driver or rider","Slight","Male","65","Car"
"2013","0A41585","432227","427060","1","2","4_10_2013","1942","Motorway (freeway)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Driver or rider","Slight","Male","56","Car"
"2013","0A41585","432227","427060","1","2","4_10_2013","1942","Motorway (freeway)","Dry","Darkness (streetlights present and lit)","Fine w/o high winds","Vehicle or pillion passenger","Slight","Female","52","Car"
"2013","0AB0817","431911","428150","3","2","11_10_2013","1404","Motorway (freeway)","Dry","Daylight (streetlights present)","Other","Driver or rider","Slight","Male","39","Car"
"2013","0AB0817","431911","428150","3","2","11_10_2013","1404","Motorway (freeway)","Dry","Daylight (streetlights present)","Other","Driver or rider","Serious","Male","38","Car"
"2013","0AB1477","425435","426520","2","1","11_10_2013","1530","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","46","Car"
"2013","0AF0559","429793","432118","3","3","15_10_2013","1215","Motorway (freeway)","Dry","Daylight (streetlights present)","Fine w/o high winds","Driver or rider","Slight","Female","19","Car"
